taxaID
294
883
1140
3702
5823
6239
7227
7955
9606
10090
36329
62977
68895
83332
83333
85962
93061
93064
94122
99287
171101
176299
185431
187410
192222
199310
205921
208963
208964
209261
211586
216591
216596
216597
220341
224308
225937
226186
227321
243273
258594
266834
267377
271848
272560
272634
272635
293653
321846
323850
326297
330879
354242
373153
388919
392499
398527
398580
400667
401614
425011
431947
471876
510516
528354
535206
559292
565050
588858
633149
640081
644801
679895
709015
714359
757424
862962
926556
941322
1064539
1122134
1124478
1380365
1423144
1813946
